user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,stripped_text
1588011596819103744,1597930541902630913,2022-11-30T12:28:23Z,ren3284012832,@3uIEvsuuRWnPT1p iPhone14,Twitter for iPhone,8,1597921042739392513,1489941718397251584,3uIEvsuuRWnPT1p,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1489941718397251584,3uIEvsuuRWnPT1p,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/ren3284012832/status/1597930541902630913,れん,,"",,FALSE,100,64,0,145,62,2022-11-03T03:34:13Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1588011596819103744/1667616889,,http://pbs.twimg.com/profile_images/1588011692138860544/o1_oGez1_normal.jpg,@3uIEvsuuRWnPT1p iPhone14
1568889092171079682,1597930055203971074,2022-11-30T12:26:27Z,KiangebeneAdao,🎁📲 WIN YOUR IPHONE14 FOR FREE REGISTER #giveaway CLICK THE LINK TO PARTICIPATE FOR FREE REGISTER 🎁✅🔜https://t.co/Rtm0KP4xaM   #contest #iphone14 AVAILABLE in 🇻🇬🇨🇦🇰🇾🇨🇮🇫🇰🇪🇺🇩🇪🇭🇳🇮🇹🇮🇪🇱🇷🇳🇮🇵🇹🇵🇳🇺🇸🇬🇧🇫🇷🇬🇷🇪🇸🇨🇭🇹🇯🎁 https://t.co/cQ8xL9SLyq,Twitter Web App,140,,,,FALSE,TRUE,0,174,,,giveaway,,,,,,,,,,,,,1529578620703887360,ivano_borgese,en,,,,,,,,,,,,,,,,1583582191862181888,🎁📲 WIN YOUR IPHONE14 FOR FREE REGISTER #giveaway CLICK THE LINK TO PARTICIPATE FOR FREE REGISTER 🎁✅🔜https://t.co/Rtm0KP4xaM   #contest #iphone14 AVAILABLE in 🇻🇬🇨🇦🇰🇾🇨🇮🇫🇰🇪🇺🇩🇪🇭🇳🇮🇹🇮🇪🇱🇷🇳🇮🇵🇹🇵🇳🇺🇸🇬🇧🇫🇷🇬🇷🇪🇸🇨🇭🇹🇯🎁 https://t.co/cQ8xL9SLyq,2022-10-21T22:13:10Z,Twitter Web App,1,174,1529578620703887360,ivano_borgese,Ivano Borgese,399,255,507,new jersey united states,#onlinemoney #offers #giveaways #prices #freegifts #united states #paypalmoney #usa #amazon #ps5,FALSE,,,,,,,|,|,|||||||,https://twitter.com/KiangebeneAdao/status/1597930055203971074,Kiangebene Adão,,"",,FALSE,7,30,1,18,87,2022-09-11T09:08:28Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1568889202988703746/szyl01ZM_normal.png,🎁📲 WIN YOUR IPHONE14 FOR FREE REGISTER #giveaway CLICK THE LINK TO PARTICIPATE FOR FREE REGISTER 🎁✅🔜
1492779386671894528,1597929805336711169,2022-11-30T12:25:28Z,iJooGpjBfWUsaiL,@fwsbem iPhone14,Twitter for iPhone,8,1597926187338432516,1471840383584063488,fwsbem,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1471840383584063488,fwsbem,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/iJooGpjBfWUsaiL/status/1597929805336711169,俺、神っぽいな,,よろしく,,FALSE,29,143,0,488,500,2022-02-13T08:35:22Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1563861163146092545/6dYEudM6_normal.jpg,@fwsbem iPhone14
1547987793195831299,1597927595479560192,2022-11-30T12:16:41Z,uKHw6DAwjBLXGVM,@3uIEvsuuRWnPT1p iPhone14,Twitter for iPhone,8,1597921042739392513,1489941718397251584,3uIEvsuuRWnPT1p,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1489941718397251584,3uIEvsuuRWnPT1p,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/uKHw6DAwjBLXGVM/status/1597927595479560192,知晃,NA,カイ,,FALSE,397,494,0,4163,3478,2022-07-15T16:54:04Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1568593315817463810/NQElXoop_normal.jpg,@3uIEvsuuRWnPT1p iPhone14
1249995663468711936,1597926970897358848,2022-11-30T12:14:12Z,pikupower48,"How to Back Up and Sync Your iPhone Photos With iCloud

#apple #smartphones #iphone14 #backuppower #rapidhacek #tipsandtricks #tweaks #howto #iCloud #sync #Data #royalrapidhacek #technicalanalysis #TechnicalTips #geeksforgeeks

Credit to:
www.pcmag https://t.co/ZDtuZVrBwc",Twitter Web App,140,,,,FALSE,TRUE,0,1,,,apple|smartphones|iphone14|backuppower|rapidhacek,,,,,,,,,,,,,1170583933282480128,rapidhacek,en,,,,,,,,,,,,,,,,1594546458593677312,"How to Back Up and Sync Your iPhone Photos With iCloud

#apple #smartphones #iphone14 #backuppower #rapidhacek #tipsandtricks #tweaks #howto #iCloud #sync #Data #royalrapidhacek #technicalanalysis #TechnicalTips #geeksforgeeks

Credit to:
www.pcmag https://t.co/ZDtuZVrBwc",2022-11-21T04:21:15Z,Twitter Web App,1,1,1170583933282480128,rapidhacek,Rapid Hacek,42,108,4586,"Chandigarh, India","A security 💻hacker is someone who seeks 2 breach 🛡️defenses & ●exploit weaknesses🚩
ⅨTips & 💡Tricks, 🛠Technology, Operating 💻Systems, 📱Android, ↗Linux🔔",FALSE,,,,,,,|,|,|||||||,https://twitter.com/pikupower48/status/1597926970897358848,Vijay Thakur,,iam a hard worker any kind of work doing,,FALSE,47,22,0,7715,7671,2020-04-14T09:39:38Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1249995998631518208/KQl_xrPy_normal.jpg,"How to Back Up and Sync Your iPhone Photos With iCloud

#apple #smartphones #iphone14 #backuppower #rapidhacek #tipsandtricks #tweaks #howto #iCloud #sync #Data #royalrapidhacek #technicalanalysis #TechnicalTips #geeksforgeeks

Credit to:
www.pcmag "
801006473631264769,1597921279419756544,2022-11-30T11:51:35Z,wansanjan09,"We are offering wholesale electronics which sell low price and high quality iPhone14 pro max (price down 10% off)from china.
Our product has been sold to all over the world, our iphone 14 series has been sold to EU, US, UK customers.
Buy link: https://t.co/rKtWU6UmpY https://t.co/9p3qizwZJ1",Twitter for Android,267,,,,FALSE,FALSE,0,0,,,,,ripesale.com,https://t.co/rKtWU6UmpY,https://www.ripesale.com,http://pbs.twimg.com/ext_tw_video_thumb/1597921227544240130/pu/img/NRNsTUqpbBGRzr9p.jpg,https://t.co/9p3qizwZJ1,https://twitter.com/wansanjan09/status/1597921279419756544/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1597921227544240130/pu/img/NRNsTUqpbBGRzr9p.jpg,https://t.co/9p3qizwZJ1,https://twitter.com/wansanjan09/status/1597921279419756544/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/wansanjan09/status/1597921279419756544,ripesale,"California, USA","Ripesale is a shop that caters to latest mobile phones, laptops, Video games, Digital camera, Television, Ebike and all electronics under this genre.",https://t.co/coxyTpL5ST,FALSE,35,307,0,836,20,2016-11-22T10:16:40Z,FALSE,https://t.co/coxyTpL5ST,https://www.ripesale.com,,https://pbs.twimg.com/profile_banners/801006473631264769/1653317872,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1597919938466918400/EgEFWTG1_normal.jpg,"We are offering wholesale electronics which sell low price and high quality iPhone14 pro max (price down 10% off)from china.
Our product has been sold to all over the world, our iphone 14 series has been sold to EU, US, UK customers.
Buy link: "
1560897264226185222,1597920662668324864,2022-11-30T11:49:08Z,takumi_saito_73,@gpWuhRSCykfHkGM iPhone14,Twitter for iPhone,8,1596293909256224768,1186858463625760768,gpWuhRSCykfHkGM,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1186858463625760768,gpWuhRSCykfHkGM,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/takumi_saito_73/status/1597920662668324864,Takuzo,,"",,FALSE,22,170,0,122,96,2022-08-20T07:51:31Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1572650547026722816/-hqgVuSa_normal.jpg,@gpWuhRSCykfHkGM iPhone14
1524006471599636480,1597109388166107141,2022-11-28T06:05:25Z,DaChozen01,"May you pick 3millions and an IPhone14 when going to work
Good morning dear ones.",Twitter for Android,98,,,,FALSE,TRUE,0,20,,,,,,,,,,,,,,,,1520341788481007616,mr_voilence,en,,,,,,,,,,,,,,,,1597096418984226816,"May you pick 3millions and an IPhone14 when going to work
Good morning dear ones.",2022-11-28T05:13:53Z,Twitter for Android,40,20,1520341788481007616,mr_voilence,Mr Voilence🇺🇬,2857,2616,6903,Every Kampala Bar,"I choose voilence and regardlessly move😉
Follow..=raising accounts matter💪°° arsernal member|👑!!!!!▫✨❕🌟",FALSE,,,,,,,|,|,|||||||,https://twitter.com/DaChozen01/status/1597109388166107141,Nov ~Bea🖤 🇺🇬🇵🇱, Poland,"To be best , u must  be able to handle the worst.",,FALSE,4773,4978,1,11091,8770,2022-05-10T12:41:10Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1524006471599636480/1668774058,,http://pbs.twimg.com/profile_images/1592940951953088515/--l7Nkd__normal.jpg,"May you pick 3millions and an IPhone14 when going to work
Good morning dear ones."
1389212110459219973,1597917898915602436,2022-11-30T11:38:09Z,EliHassan61,@FatimaMughal08 Apko Kidneys beich ke iphone14 lna prna Ab too😂😂,Twitter for iPhone,48,1597877749095731200,1522652026403962880,FatimaMughal08,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,1522652026403962880,FatimaMughal08,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/EliHassan61/status/1597917898915602436,Ali Hassan Noor,❤️,3/5 Doctor to be IA❤️,,FALSE,141,96,0,549,4027,2021-05-03T13:36:06Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1389212110459219973/1654411943,,http://pbs.twimg.com/profile_images/1579091026110808065/mGMmLQDF_normal.jpg,@FatimaMughal08 Apko Kidneys beich ke iphone14 lna prna Ab too😂😂
1411374866423586820,1597917079512154112,2022-11-30T11:34:54Z,PeterTumusiime9,"Join and bet with @MSportUganda  and stand a chance to win 200k cash and an iPhone14.Register via https://t.co/D22i9h3AHG
#MSportWorldCup 
#BetNowOnMSport https://t.co/63MR5ly2Vp",Twitter for iPhone,139,,,,FALSE,TRUE,0,9,,,,,msport.com/ug/m/mkt/regis,https://t.co/D22i9h3AHG,http://msport.com/ug/m/mkt/regis,,,,,,,,,1470386706373357570|1367073430181273600,bonitahjust|MSportUganda,en,,,,,,,,,,,,,,,,1597911309924052992,"Join and bet with @MSportUganda  and stand a chance to win 200k cash and an iPhone14.Register via https://t.co/D22i9h3AHG
#MSportWorldCup 
#BetNowOnMSport https://t.co/63MR5ly2Vp",2022-11-30T11:11:58Z,Twitter for Android,12,9,1470386706373357570,bonitahjust,BonitahJust🇺🇬🇺🇬,16293,3351,18345,"",Student at @NkumbaUni●Follow me all handles @bonitahjust●I follow back❤,FALSE,,,,,,,|,|,|||||||,https://twitter.com/PeterTumusiime9/status/1597917079512154112,🧔‍♀️MR. Beard🇺🇬🧔😜,"Kampala, Uganda","Digital_marketer|| civil_Engineering_student 🛤️🛣️🧱|| @manUtd for life ||God above all|  @Thejovocleague",https://t.co/OEYD0GB6Je,FALSE,22516,10116,8,120617,419913,2021-07-03T17:23:20Z,FALSE,https://t.co/OEYD0GB6Je,http://tiktok.com/@petertumusiime91,,https://pbs.twimg.com/profile_banners/1411374866423586820/1664374460,,http://pbs.twimg.com/profile_images/1564139191063269376/E-zxDsC0_normal.jpg,Join and bet with @MSportUganda  and stand a chance to win 200k cash and an iPhone14.Register via 
